t_s,enc_as5600_deg,acc_deg,clar_counts,clar_deg,cmd_sps,cmd_dir,cmd_vel
2.773245,245.7422,-12.304688,0,0.0000,500.00,-1,-500.00
2.774246,246.2695,-11.777344,0,0.0000,500.00,-1,-500.00
2.775247,246.5332,-11.513672,0,0.0000,500.00,-1,-500.00
2.776248,246.7969,-11.250000,0,0.0000,500.00,-1,-500.00
2.777249,247.5000,-10.546875,0,0.0000,500.00,-1,-500.00
2.778250,248.0273,-10.019531,0,0.0000,500.00,-1,-500.00
2.779251,248.2031,-9.843750,0,0.0000,500.00,-1,-500.00
2.780252,248.6426,-9.404297,0,0.0000,500.00,-1,-500.00
2.781253,249.2578,-8.789063,0,0.0000,500.00,-1,-500.00
2.782254,249.7852,-8.261719,0,0.0000,500.00,-1,-500.00
2.783255,249.9609,-8.085938,0,0.0000,500.00,-1,-500.00
2.784256,250.4004,-7.646484,0,0.0000,500.00,-1,-500.00
2.785257,251.1035,-6.943359,0,0.0000,500.00,-1,-500.00
2.786258,251.5430,-6.503906,0,0.0000,500.00,-1,-500.00
2.787259,251.7187,-6.328125,0,0.0000,500.00,-1,-500.00
2.788260,252.0703,-5.976562,0,0.0000,500.00,-1,-500.00
2.797606,256.5527,-1.494141,0,0.0000,500.00,-1,-500.00
2.798607,256.9043,-1.142578,0,0.0000,500.00,-1,-500.00
2.799608,257.0801,-0.966797,0,0.0000,500.00,-1,-500.00
2.800609,257.6074,-0.439453,0,0.0000,0.00,1,0.00
2.801610,258.3105,0.263672,0,0.0000,0.00,1,0.00
2.802611,258.3105,0.263672,0,0.0000,0.00,1,0.00
2.803611,257.7832,-0.263672,0,0.0000,0.00,1,0.00
2.804612,257.7832,-0.263672,0,0.0000,0.00,1,0.00
2.805612,258.2227,0.175781,0,0.0000,0.00,1,0.00
2.806613,258.1348,0.087891,0,0.0000,0.00,1,0.00
2.807614,257.7832,-0.263672,0,0.0000,0.00,1,0.00
2.808615,257.7832,-0.263672,0,0.0000,0.00,1,0.00
2.809616,258.2227,0.175781,0,0.0000,0.00,1,0.00
2.810617,258.1348,0.087891,0,0.0000,0.00,1,0.00
2.811618,257.7832,-0.263672,0,0.0000,0.00,1,0.00
2.812619,257.7832,-0.263672,0,0.0000,0.00,1,0.00
2.813620,258.0469,0.000000,0,0.0000,0.00,1,0.00
2.814621,258.1348,0.087891,0,0.0000,0.00,1,0.00
2.815622,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.816623,257.7832,-0.263672,0,0.0000,0.00,1,0.00
2.817624,257.8711,-0.175781,0,0.0000,0.00,1,0.00
2.818625,258.0469,0.000000,0,0.0000,0.00,1,0.00
2.819626,258.0469,0.000000,0,0.0000,0.00,1,0.00
2.820627,257.8711,-0.175781,0,0.0000,0.00,1,0.00
2.821628,257.8711,-0.175781,0,0.0000,0.00,1,0.00
2.822629,258.0469,0.000000,0,0.0000,0.00,1,0.00
2.823630,258.1348,0.087891,0,0.0000,0.00,1,0.00
2.824631,258.0469,0.000000,0,0.0000,0.00,1,0.00
2.825632,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.826633,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.827634,258.0469,0.000000,0,0.0000,0.00,1,0.00
2.828635,258.0469,0.000000,0,0.0000,0.00,1,0.00
2.829636,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.830637,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.831638,258.0469,0.000000,0,0.0000,0.00,1,0.00
2.832639,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.833640,257.8711,-0.175781,0,0.0000,0.00,1,0.00
2.834641,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.835642,257.9590,-0.087891,0,0.0000,0.00,1,0.00
