t_s,accumulated_rad,input_rad_s
23.700012,-0.004601944545318489,0.0
23.701014,-0.004601944545318489,0.0
23.702017,-0.004601944545318489,0.0
23.703018,-0.004601944545318489,0.0
23.70402,-0.004601944545318489,0.0
23.705023,-0.0030679572124481524,0.0
23.706024,-0.0030679572124481524,0.0
23.707026,-0.0030679572124481524,0.0
23.708027,-0.0030679572124481524,0.0
23.709028,-0.004601944545318489,0.0
23.71003,-0.0030679572124481524,0.0
23.711033,-0.0030679572124481524,0.0
23.712034,-0.0030679572124481524,0.0
23.713036,-0.0030679572124481524,0.0
23.714039,-0.0030679572124481524,0.0
23.71504,-0.0030679572124481524,0.0
23.716042,-0.004601944545318489,0.0
23.717045,-0.004601944545318489,0.0
23.718046,-0.004601944545318489,0.0
23.719048,-0.0030679572124481524,0.0
23.720051,-0.0030679572124481524,0.0
23.721052,-0.004601944545318489,0.0
23.722054,-0.004601944545318489,0.0
23.723055,-0.0030679572124481524,0.0
23.724056,-0.0030679572124481524,0.0
23.725058,-0.004601944545318489,0.0
23.726061,-0.004601944545318489,0.0
23.727062,-0.004601944545318489,0.0
23.728064,-0.004601944545318489,0.0
23.729067,-0.0030679572124481524,0.0
23.73662,-0.004601944545318489,0.0
23.737621,-0.004601944545318489,0.0
23.738623,-0.0030679572124481524,0.0
23.739624,-0.0030679572124481524,0.0
23.740625,-0.004601944545318489,0.0
23.741627,-0.004601944545318489,0.0
23.742628,-0.0030679572124481524,0.0
23.743629,-0.004601944545318489,0.0
23.744631,-0.004601944545318489,0.0
23.745632,-0.004601944545318489,0.0
23.746634,-0.004601944545318489,0.0
23.747635,-0.0030679572124481524,0.0
23.748636,-0.004601944545318489,0.0
23.749638,-0.004601944545318489,0.0
23.750641,-0.004601944545318489,0.0
23.751642,-0.004601944545318489,0.0
23.752644,-0.004601944545318489,0.0
23.753647,-0.0030679572124481524,0.0
23.754648,-0.0030679572124481524,0.0
23.75565,-0.0030679572124481524,0.0
23.756653,-0.0030679572124481524,0.0
23.757654,-0.004601944545318489,0.0
23.758656,-0.0030679572124481524,0.0
23.759659,-0.0030679572124481524,0.0
23.76066,-0.0030679572124481524,0.0
23.761662,-0.0030679572124481524,0.0
23.762663,-0.0030679572124481524,0.0
23.763664,-0.0030679572124481524,0.0
23.764666,-0.0030679572124481524,0.0
23.765669,-0.0030679572124481524,0.0
23.76667,-0.0030679572124481524,0.0
23.767672,-0.0030679572124481524,0.0
23.768675,-0.0030679572124481524,0.0
23.769676,-0.0030679572124481524,0.0
