t_s,enc_deg,acc_deg,a_belt,v_belt,a_raw_x,a_raw_y,a_raw_z,a_lin_x,a_lin_y,a_lin_z,cmd_sps,cmd_dir,cmd_vel,a_belt_lp25,a_lin_x_lp25,a_lin_y_lp25,a_lin_z_lp25
0.221427,113.1152,-134.736328,-2.256882,-9.977173,-8.378509,-1.996764,0.676362,0.616284,-2.256882,-0.221255,1489.37,1,1489.37,-2.7298056567154956,-0.154629503763233,-2.7298056567154956,-0.09607635903293457
0.223682,110.3906,-137.460937,-1.99352,-9.981283,-8.671799,-1.733402,0.672771,0.322994,-1.99352,-0.224846,1501.24,1,1501.24,-2.3010926523283057,-0.1484153851501125,-2.3010926523283057,-0.09954162069328612
0.225941,107.5781,-140.273437,-2.997888,-9.98868,-9.90601,-2.73777,1.944092,-0.911217,-2.997888,1.046475,1513.01,1,1513.01,-1.7758272320063149,-0.14310526220799863,-1.7758272320063149,-0.1000747779863969
0.228196,105.0293,-142.822266,0.57067,-9.991942,-9.515755,0.830788,0.40462,-0.520962,0.57067,-0.492997,1530.51,1,1530.51,-1.242616110107884,-0.13462214665602543,-1.242616110107884,-0.09900387477211318
0.230453,102.3047,-145.546875,3.841149,-9.985824,-8.626308,4.101267,0.070629,0.368484,3.841149,-0.826988,1542.05,1,1542.05,-0.7821413018092374,-0.12270254104321157,-0.7821413018092374,-0.09265575770301654
0.23271,99.7559,-148.095703,1.746223,-9.9798,-8.555679,2.006341,0.708684,0.439114,1.746223,-0.188933,1553.5,1,1553.5,-0.4408615087304693,-0.11013380263194358,-0.4408615087304693,-0.07856331875696997
0.234969,97.2949,-150.556641,-2.472361,-9.983423,-9.739613,-2.212242,1.46166,-0.74482,-2.472361,0.564043,1564.86,1,1564.86,-0.21416427418230122,-0.09693445892365957,-0.21416427418230122,-0.06016140190180997
0.237226,94.6582,-153.193359,-0.631219,-9.987104,-9.181764,-0.371101,0.871489,-0.186971,-0.631219,-0.026127,1581.7,1,1581.7,-0.06720598138098807,-0.08036310075489976,-0.06720598138098807,-0.0427623462366792
0.239487,92.1973,-155.654297,-0.055414,-9.987188,-9.095572,0.204704,0.624887,-0.10078,-0.055414,-0.27273,1592.81,1,1592.81,0.031659499297775506,-0.059792348701191086,0.031659499297775506,-0.028644394969050302
0.241743,89.8242,-158.027344,-0.99035,-9.988464,-8.828619,-0.730232,0.881066,0.166174,-0.99035,-0.016551,1603.8,1,1603.8,0.09927778179299916,-0.037945919682367456,0.09927778179299916,-0.018168404596000776
0.244005,87.2754,-160.576172,-0.240965,-9.992143,-9.271546,0.019154,1.388637,-0.276753,-0.240965,0.49102,1620.1,1,1620.1,0.14009326565446414,-0.018514132760326454,0.14009326565446414,-0.012030430741858496
0.251573,79.1016,-168.75,1.460116,-9.981092,-8.428787,1.720234,0.939724,0.566006,1.460116,0.042107,1657.17,1,1657.17,0.14882978565013635,-0.004563488877502866,0.14882978565013635,-0.009513645340315938
0.25363,76.9922,-170.859375,3.559831,-9.974082,-9.050082,3.819949,0.483629,-0.055289,3.559831,-0.413988,1667.5,1,1667.5,0.12268520958295781,0.002679307822539354,0.12268520958295781,-0.006628723650205111
0.255887,74.5313,-173.320312,-1.67988,-9.973547,-9.021352,-1.419762,0.410606,-0.026559,-1.67988,-0.487011,1677.71,1,1677.71,0.08072871994959,0.004944693113439353,0.08072871994959,0.000875249313738936
0.258155,71.8945,-175.957031,-3.738893,-9.980108,-9.090784,-3.478775,0.985214,-0.095991,-3.738893,0.087597,1692.81,1,1692.81,0.06060675996216145,0.005800431778054552,0.06060675996216145,0.012668320973767093
0.260412,69.5215,-178.330078,-0.559393,-9.984571,-9.259575,-0.299275,1.428141,-0.264782,-0.559393,0.530524,1702.72,1,1702.72,0.08557238942577279,0.008141455459213657,0.08557238942577279,0.023728822926967492
0.262668,66.9727,-180.878906,3.130071,-9.978529,-9.31105,3.39019,0.839168,-0.316257,3.130071,-0.058449,1712.51,1,1712.51,0.1459001538582203,0.012053296743247545,0.1459001538582203,0.029073555334300626
0.264925,64.3359,-183.515625,-3.042181,-9.98217,-8.759187,-2.782062,0.970849,0.235606,-3.042181,0.073232,1722.16,1,1722.16,0.21645184356813135,0.013603569681768676,0.21645184356813135,0.026952464723475775
0.267181,61.875,-185.976562,1.108168,-9.984649,-7.896077,1.368286,1.555034,1.098716,1.108168,0.657417,1736.41,1,1736.41,0.2712368953656163,0.007358006973488939,0.2712368953656163,0.018660980854785496
0.269442,59.3262,-188.525391,3.713059,-9.977524,-9.31943,3.973178,0.363919,-0.324637,3.713059,-0.533698,1745.74,1,1745.74,0.282385229380794,-0.00730502170225845,0.282385229380794,0.008598699357117443
0.271698,56.7773,-191.074219,2.493214,-9.970179,-9.757569,2.753332,0.535104,-0.762776,2.493214,-0.362513,1754.94,1,1754.94,0.23591841737644484,-0.024537424905024908,0.23591841737644484,0.0029354073906728683
0.273954,54.3164,-193.535156,-2.538201,-9.973151,-8.910022,-2.278083,1.491588,0.084771,-2.538201,0.593971,1764.0,1,1764.0,0.1521228256675048,-0.03867639429444656,0.1521228256675048,0.005904897578090717
0.276212,51.5039,-196.347656,-0.777266,-9.977466,-8.682572,-0.517148,0.342371,0.312221,-0.777266,-0.555246,1777.34,1,1777.34,0.07220577497772945,-0.04881926987288344,0.07220577497772945,0.01927324711811614
0.278475,48.8672,-198.984375,0.541939,-9.976556,-9.097966,0.802058,-0.105345,-0.103173,0.541939,-1.002962,1786.05,1,1786.05,0.029044226203436448,-0.055500749021967756,0.029044226203436448,0.04249883249721981
0.280731,46.1426,-201.708984,-2.250897,-9.979206,-9.518148,-1.990779,1.517924,-0.523355,-2.250897,0.620307,1794.62,1,1794.62,0.03796145613763721,-0.05765036667966525,0.03796145613763721,0.06858281875409282
0.282987,43.418,-204.433594,-1.342297,-9.983393,-8.76637,-1.082179,1.947683,0.228423,-1.342297,1.050066,1803.04,1,1803.04,0.09702200297038455,-0.05457598194126785,0.09702200297038455,0.0844245698040312
0.285247,40.6055,-207.246094,0.835229,-9.984369,-9.224859,1.095347,1.806425,-0.230066,0.835229,0.908808,1815.41,1,1815.41,0.18192034032259005,-0.04770922908548007,0.18192034032259005,0.08103887595304834
0.287509,37.8809,-209.970703,5.45125,-9.974743,-9.050082,5.711368,0.442927,-0.055289,5.45125,-0.45469,1823.46,1,1823.46,0.25633782964347696,-0.03969635512483641,0.25633782964347696,0.06180825788544122
0.289766,35.2441,-212.607422,-0.947254,-9.967159,-8.955511,-0.687136,-0.063446,0.039282,-0.947254,-0.961063,1831.36,1,1831.36,0.303494100053792,-0.03371285831421952,0.303494100053792,0.038126748600357904
