t_s,enc_deg,acc_deg,a_belt,v_belt,a_raw_x,a_raw_y,a_raw_z,a_lin_x,a_lin_y,a_lin_z,cmd_sps,cmd_dir,cmd_vel,a_belt_lp25,a_lin_x_lp25,a_lin_y_lp25,a_lin_z_lp25
0.099269,86.4844,-157.412109,-0.516695,-0.16508,-7.845799,-0.292093,1.152808,1.151173,-0.516695,0.227815,1500.0,1,1500.0,0.41451190003364474,0.0402409231840391,0.41451190003364474,0.02054506236315754
0.101526,84.0234,-159.873047,4.225022,-0.159066,-8.98903,4.449624,1.513135,0.007942,4.225022,0.588142,1500.0,1,1500.0,0.4135649910956718,0.03361811808802931,0.4135649910956718,-0.0009987893393405998
0.103787,81.6504,-162.246094,0.956936,-0.15437,-10.594342,1.181539,1.047463,-1.59737,0.956936,0.12247,1500.0,1,1500.0,0.3536894534421692,0.025445318613780583,0.3536894534421692,-0.025833623133071307
0.106044,79.1895,-164.707031,0.952148,-0.152852,-7.386112,1.17675,0.195127,1.61086,0.952148,-0.729866,1500.0,1,1500.0,0.24309935646745093,0.018015151655033784,0.24309935646745093,-0.04635683184185955
0.1083,76.6406,-167.255859,-1.883784,-0.153994,-9.276335,-1.659182,0.521936,-0.279363,-1.883784,-0.403057,1500.0,1,1500.0,0.12159472108719081,0.009166689897523112,0.12159472108719081,-0.05434148825866084
0.110558,74.2676,-169.628906,-1.401353,-0.157808,-9.556456,-1.17675,0.899023,-0.559484,-1.401353,-0.025971,1500.0,1,1500.0,0.030701173759809616,-0.0010263930971519202,0.030701173759809616,-0.04878304820735449
0.112821,71.7188,-172.177734,-0.635208,-0.159209,-8.599973,-0.410606,1.157596,0.396999,-0.635208,0.232603,1500.0,1,1500.0,-0.013208468960963402,-0.010485611439529747,-0.013208468960963402,-0.03594560543511184
0.215814,304.9805,-298.916016,0.610974,-0.096283,-9.002198,0.835576,0.942118,-0.005226,0.610974,0.017125,1500.0,1,1500.0,-0.023652729094905917,-0.019266901578122088,-0.023652729094905917,-0.02348478344590573
0.21787,302.6953,-301.201172,1.885887,-0.093811,-8.998607,2.110489,1.203086,-0.001635,1.885887,0.278093,1500.0,1,1500.0,-0.025958496648448,-0.02741863412600081,-0.025958496648448,-0.01600891729162602
0.220128,300.1465,-303.75,-0.422124,-0.09174,-9.351752,-0.197522,0.956484,-0.35478,-0.422124,0.03149,1500.0,1,1500.0,-0.03342353705084193,-0.03341115108068696,-0.03342353705084193,-0.013813235302472169
0.222398,297.6855,-306.210937,-1.286431,-0.094292,-9.010578,-1.061828,0.591368,-0.013606,-1.286431,-0.333626,1500.0,1,1500.0,-0.041523634539498096,-0.03679869090875278,-0.041523634539498096,-0.013730670792945838
0.224656,295.1367,-308.759766,0.81927,-0.093656,-8.457518,1.043872,0.835576,0.539454,0.81927,-0.089417,1500.0,1,1500.0,-0.042650704928561545,-0.03905398555920419,-0.042650704928561545,-0.012371614982167848
0.226913,292.7637,-311.132812,0.39789,-0.091206,-9.519346,0.622492,1.060631,-0.522374,0.39789,0.135638,1500.0,1,1500.0,-0.03463723252958067,-0.04045201303107606,-0.03463723252958067,-0.00905235673087393
0.229168,290.0391,-313.857422,-1.258897,-0.092509,-9.417592,-1.034295,0.963666,-0.42062,-1.258897,0.038673,1500.0,1,1500.0,-0.014828848146160525,-0.03969587359164547,-0.014828848146160525,-0.004897358000617234
0.23143,287.666,-316.230469,-0.872234,-0.094976,-8.447941,-0.647632,0.770933,0.549031,-0.872234,-0.15406,1500.0,1,1500.0,0.017630777571955705,-0.037998342801813224,0.017630777571955705,-0.0005919580504205152
0.233688,285.293,-318.603516,1.280153,-0.093232,-8.956709,1.504756,1.013944,0.040263,1.280153,0.088951,1500.0,1,1500.0,0.05147329312902309,-0.03860511724900805,0.05147329312902309,0.003573466453010678
0.235946,282.9199,-320.976562,1.811666,-0.089362,-9.202114,2.036268,0.808043,-0.205142,1.811666,-0.11695,1500.0,1,1500.0,0.06999927541268622,-0.04195282548610356,0.06999927541268622,0.006662276105222281
0.238202,280.2832,-323.613281,-0.204252,-0.08732,-9.214086,0.020351,1.26773,-0.217113,-0.204252,0.342736,1500.0,1,1500.0,0.07209425070061735,-0.04575748444825024,0.07209425070061735,0.007372361854540096
0.240462,277.998,-325.898437,-2.305163,-0.091828,-9.16261,-2.080561,1.071405,-0.165638,-2.305163,0.146412,1500.0,1,1500.0,0.07514120265623843,-0.049213807281871295,0.07514120265623843,0.0059641219454134985
0.24272,275.4492,-328.447266,-0.226996,-0.093987,-8.513782,-0.002394,0.337582,0.483191,-0.226996,-0.587411,1500.0,1,1500.0,0.09096519328505598,-0.05409260393051741,0.09096519328505598,0.005344262374059465
0.244976,272.9004,-330.996094,2.794486,-0.088574,-9.251195,3.019088,0.925359,-0.254223,2.794486,0.000365,1500.0,1,1500.0,0.11079896813186212,-0.061475848519100866,0.11079896813186212,0.007884199208765494
0.247232,270.5273,-333.369141,0.042351,-0.085133,-9.318233,0.266953,1.112107,-0.321261,0.042351,0.187113,1500.0,1,1500.0,0.124103935064063,-0.06981256264676139,0.124103935064063,0.011723563218756191
0.249493,267.627,-336.269531,-1.4229,-0.087799,-8.904037,-1.198298,1.127669,0.092936,-1.4229,0.202676,1500.0,1,1500.0,0.13811983742238973,-0.07748300303217451,0.13811983742238973,0.01267216068822796
0.251749,265.166,-338.730469,-0.933286,-0.091893,-8.902839,-0.708684,0.968455,0.094133,-0.933286,0.043461,1500.0,1,1500.0,0.1644367101525159,-0.0843524426535173,0.1644367101525159,0.008600729735065538
