t_s,enc_deg,acc_deg,a_belt,v_belt,a_raw_x,a_raw_y,a_raw_z,a_lin_x,a_lin_y,a_lin_z,cmd_sps,cmd_dir,cmd_vel,a_belt_lp25,a_lin_x_lp25,a_lin_y_lp25,a_lin_z_lp25
0.141613,310.166,-213.222656,-5.140952,-0.289667,-9.640253,-4.894945,0.556652,-0.645838,-5.140952,-0.313025,0.0,1,0.0,0.12062184845750337,-0.033312270711199535,0.12062184845750337,-0.02024988100595963
0.150691,309.9023,-213.486328,5.614999,-0.238694,-8.062474,5.861006,0.940921,0.931941,5.614999,0.071244,0.0,1,0.0,-0.2930760207380257,-0.06449122170867362,-0.2930760207380257,-0.013594574059398196
0.158325,310.0781,-213.310547,-2.161368,-0.255194,-10.234015,-1.915361,1.392228,-1.2396,-2.161368,0.522551,0.0,1,0.0,-0.5734150160669277,-0.09192559426455249,-0.5734150160669277,-0.009130507919180292
0.160382,309.9902,-213.398437,-4.672885,-0.263634,-9.940725,-4.426879,1.482011,-0.94631,-4.672885,0.612334,0.0,1,0.0,-0.6947914833279952,-0.10269894884140983,-0.6947914833279952,-0.006635545726894634
0.162636,309.9902,-213.398437,-3.220802,-0.27211,-9.210494,-2.974796,-0.264559,-0.216079,-3.220802,-1.134236,0.0,1,0.0,-0.6443468014908564,-0.09315744235130746,-0.6443468014908564,0.00016156217758955555
0.164903,309.9902,-213.398437,-0.386067,-0.275228,-8.595184,-0.140061,-0.079009,0.399231,-0.386067,-0.948685,0.0,1,0.0,-0.4548723930533977,-0.0711125233606114,-0.4548723930533977,0.01808835733509096
0.167158,309.9023,-213.486328,0.316631,-0.275293,-8.435969,0.562637,1.018733,0.558446,0.316631,0.149056,0.0,1,0.0,-0.20166004918929056,-0.04803800923427336,-0.20166004918929056,0.04398222852332961
0.169413,310.0781,-213.310547,1.835752,-0.273085,-9.113529,2.081758,1.890222,-0.119114,1.835752,1.020545,0.0,1,0.0,0.026800008139090867,-0.030355140094522517,0.026800008139090867,0.06365816700959251
0.171669,309.9023,-213.486328,3.825333,-0.265453,-9.489418,4.07134,1.960851,-0.495003,3.825333,1.091174,0.0,1,0.0,0.1574928471262893,-0.018452398716104504,0.1574928471262893,0.06357080874630039
0.173928,310.0781,-213.310547,2.688087,-0.25721,-8.945934,2.934094,1.052252,0.048481,2.688087,0.182575,0.0,1,0.0,0.15730395361589078,-0.012033782700358295,0.15730395361589078,0.04265471020868014
0.176183,309.9902,-213.398437,0.283112,-0.253902,-8.674192,0.529119,-0.025139,0.320223,0.283112,-0.894816,0.0,1,0.0,0.04613106658127238,-0.013488285160294052,0.04613106658127238,0.012727612134862044
