t_s,enc_deg,acc_deg,a_belt,v_belt,a_raw_x,a_raw_y,a_raw_z,a_lin_x,a_lin_y,a_lin_z,cmd_sps,cmd_dir,cmd_vel
0.298617,23.8184,-224.033203,-1.749312,-9.973304,-9.330204,-1.489193,0.932542,-0.335411,-1.749312,0.034925,1864.97,1,1864.97
0.300874,20.9180,-226.933594,-1.163929,-9.978814,-8.846576,-0.903811,1.453280,0.148217,-1.163929,0.555664,1872.00,1,1872.00
0.303130,18.0176,-229.833984,1.843188,-9.977818,-8.760384,2.103306,0.913388,0.234409,1.843188,0.015771,1882.23,1,1882.23
0.305394,15.1172,-232.734375,3.221051,-9.970887,-8.911219,3.481169,0.430956,0.083574,3.221051,-0.466661,1888.84,1,1888.84
0.307649,12.1289,-235.722656,0.824455,-9.966942,-9.114726,1.084573,0.581791,-0.119933,0.824455,-0.315826,1895.28,1,1895.28
0.309903,9.0527,-238.798828,-0.628825,-9.970252,-9.239224,-0.368707,1.370680,-0.244431,-0.628825,0.473064,1901.55,1,1901.55
0.312161,6.1523,-241.699219,0.875931,-9.969498,-9.024943,1.136049,1.438915,-0.030150,0.875931,0.541298,1910.62,1,1910.62
0.314423,3.1641,-244.687500,0.535954,-9.967801,-9.064447,0.796072,0.678756,-0.069654,0.535954,-0.218861,1916.45,1,1916.45
0.316680,0.1758,-247.675781,-0.329550,-9.968764,-8.741230,-0.069432,0.381875,0.253563,-0.329550,-0.515742,1922.10,1,1922.10
0.318934,357.0996,-250.751953,1.548701,-9.967002,-8.929175,1.808819,0.690727,0.065618,1.548701,-0.206890,1927.56,1,1927.56
0.321187,354.1992,-253.652344,1.427794,-9.963525,-9.445126,1.687912,1.042675,-0.450333,1.427794,0.145058,1935.42,1,1935.42
0.323448,351.2109,-256.640625,-3.114007,-9.967570,-9.308656,-2.853889,1.183933,-0.313863,-3.114007,0.286316,1940.43,1,1940.43
0.325704,348.2227,-259.628906,0.841215,-9.972015,-8.516175,1.101333,0.763750,0.478618,0.841215,-0.133867,1945.25,1,1945.25
0.327961,345.4980,-262.353516,2.489622,-9.967487,-8.754398,2.749741,0.921768,0.240395,2.489622,0.024151,1949.87,1,1949.87
0.330216,342.3340,-265.517578,1.122533,-9.963669,-9.103952,1.382651,0.596156,-0.109159,1.122533,-0.301461,1956.46,1,1956.46
0.332474,339.6094,-268.242187,-2.320329,-9.967087,-9.502586,-2.060210,1.406593,-0.507793,-2.320329,0.508977,1960.60,1,1960.60
0.334729,336.7090,-271.142578,-0.243359,-9.969709,-9.135077,0.016759,0.755371,-0.140284,-0.243359,-0.142246,1964.55,1,1964.55
0.336986,333.8965,-273.955078,1.257806,-9.968937,-9.271546,1.517924,0.562637,-0.276753,1.257806,-0.334979,1968.30,1,1968.30
0.339243,330.9961,-276.855469,0.279774,-9.967022,-8.829816,0.539892,0.827197,0.164977,0.279774,-0.070420,1973.55,1,1973.55
0.341503,328.1836,-279.667969,-2.145552,-9.971139,-8.957906,-1.885434,0.981623,0.036887,-2.145552,0.084006,1976.80,1,1976.80
0.343760,325.5469,-282.304687,0.490464,-9.972104,-9.030929,0.750582,0.554258,-0.036136,0.490464,-0.343359,1979.84,1,1979.84
0.346017,322.7344,-285.117187,2.298086,-9.969001,-9.120711,2.558204,1.033098,-0.125918,2.298086,0.135481,1984.02,1,1984.02
0.348276,320.1855,-287.666016,0.637707,-9.965952,-9.442732,0.897826,1.393425,-0.447939,0.637707,0.495808,1986.54,1,1986.54
0.350534,317.2852,-290.566406,-0.971196,-9.967132,-9.139865,-0.711078,0.349553,-0.145072,-0.971196,-0.548063,1988.85,1,1988.85
0.352793,314.6484,-293.203125,-1.481161,-9.970253,-8.741230,-1.221043,0.970849,0.253563,-1.481161,0.073232,1990.95,1,1990.95
0.355047,312.0996,-295.751953,-1.682274,-9.973922,-9.058462,-1.422156,1.084573,-0.063669,-1.682274,0.186957,1993.70,1,1993.70
0.357304,309.4629,-298.388672,1.594191,-9.972695,-9.084799,1.854309,0.805649,-0.090006,1.594191,-0.091968,1995.26,1,1995.26
0.359561,307.0898,-300.761719,0.595809,-9.969608,-9.033323,0.855927,0.135272,-0.038530,0.595809,-0.762344,1996.60,1,1996.60
0.361822,304.2773,-303.574219,-1.921694,-9.974575,-9.223662,-1.661576,1.124078,-0.228869,-1.921694,0.226461,1997.72,1,1997.72
0.370898,294.3457,-313.505859,-0.668330,-9.980640,-8.798691,-0.408211,1.316811,0.196102,-0.668330,0.419194,2000.00,1,2000.00
0.372930,292.1484,-315.703125,1.298507,-9.979931,-9.260772,1.558625,0.930147,-0.265979,1.298507,0.032530,1999.88,1,1999.88
0.375187,289.5996,-318.251953,0.443777,-9.977529,-9.191340,0.703895,0.593762,-0.196548,0.443777,-0.303855,1999.27,1,1999.27
0.377455,287.0508,-320.800781,-4.120769,-9.985070,-9.490616,-3.860650,1.052252,-0.495823,-4.120769,0.154635,1998.57,1,1998.57
0.379712,284.6777,-323.173828,2.079017,-9.986182,-8.450335,2.339135,0.893037,0.544458,2.079017,-0.004580,1997.64,1,1997.64
0.381969,282.3047,-325.546875,2.587785,-9.980159,-9.182961,2.847903,0.349553,-0.188168,2.587785,-0.548063,1996.47,1,1996.47
0.384224,279.7559,-328.095703,-0.583335,-9.978591,-9.414001,-0.323217,0.764947,-0.419209,-0.583335,-0.132669,1994.28,1,1994.28
0.386485,277.2949,-330.556641,-3.306740,-9.985206,-9.367314,-3.046622,1.640028,-0.372521,-3.306740,0.742411,1992.51,1,1992.51
0.388744,274.7461,-333.105469,1.753405,-9.987656,-8.993818,2.013524,0.502782,0.000975,1.753405,-0.394835,1990.51,1,1990.51
0.391002,272.2852,-335.566406,3.447303,-9.980609,-8.785523,3.707421,0.384269,0.209270,3.447303,-0.513348,1988.27,1,1988.27
0.393256,269.6484,-338.203125,0.059508,-9.978230,-9.099164,0.319626,0.927753,-0.104371,0.059508,0.030136,1984.44,1,1984.44
0.395514,267.0117,-340.839844,-1.910920,-9.981581,-8.953117,-1.650802,1.297657,0.041676,-1.910920,0.400041,1981.59,1,1981.59
0.397769,264.4629,-343.388672,-1.226179,-9.986755,-9.200917,-0.966060,1.179144,-0.206124,-1.226179,0.281528,1978.49,1,1978.49
0.400023,261.9141,-345.937500,0.417441,-9.987178,-9.148245,0.677559,0.670376,-0.153452,0.417441,-0.227240,1973.37,1,1973.37
