t_s,enc_deg,acc_deg,a_belt,v_belt,a_raw_x,a_raw_y,a_raw_z,a_lin_x,a_lin_y,a_lin_z,cmd_sps,cmd_dir,cmd_vel
0.308188,169.8047,-434.091797,-1.457616,-0.092860,-8.871715,-1.233014,1.119289,0.125257,-1.457616,0.194296,1500.00,1,1500.00
0.310447,164.5312,-439.365234,0.791736,-0.091983,-9.075222,1.016339,0.919373,-0.078250,0.791736,-0.005620,1500.00,1,1500.00
0.312701,160.3125,-443.583984,-0.404167,-0.091345,-9.066842,-0.179565,0.738611,-0.069870,-0.404167,-0.186382,1500.00,1,1500.00
0.314960,155.8301,-448.066406,-1.030251,-0.092947,-8.959103,-0.805649,1.088165,0.037869,-1.030251,0.163171,1500.00,1,1500.00
0.317215,151.6992,-452.197266,0.827649,-0.092870,-9.003395,1.052252,1.125275,-0.006423,0.827649,0.200281,1500.00,1,1500.00
0.319470,147.6562,-456.240234,2.189950,-0.088177,-9.252393,2.414552,1.161188,-0.255421,2.189950,0.236194,1500.00,1,1500.00
0.321723,143.3496,-460.546875,-1.817944,-0.088187,-9.143456,-1.593341,0.818817,-0.146484,-1.817944,-0.106176,1500.00,1,1500.00
0.323983,139.7461,-464.150391,-0.886599,-0.091466,-8.844181,-0.661997,0.749385,0.152791,-0.886599,-0.175608,1500.00,1,1500.00
0.326240,135.9668,-467.929687,-0.096513,-0.092307,-9.131485,0.128090,0.954089,-0.134513,-0.096513,0.029096,1500.00,1,1500.00
0.427903,13.4473,-590.449219,-0.412547,-0.134247,-9.342175,-0.187945,1.109712,-0.345203,-0.412547,0.184719,1500.00,1,1500.00
0.430445,9.9316,-593.964844,-2.458392,-0.139934,-9.065644,-2.233790,0.441730,-0.068672,-2.458392,-0.483263,1500.00,1,1500.00
0.432716,7.0312,-596.865234,-0.285654,-0.142535,-9.004593,-0.061052,1.168370,-0.007621,-0.285654,0.243377,1500.00,1,1500.00
0.434972,4.2187,-599.677734,1.280153,-0.141190,-8.947132,1.504756,1.212663,0.049840,1.280153,0.287670,1500.00,1,1500.00
0.437229,0.8789,-603.017578,0.863562,-0.138630,-9.159019,1.088165,1.217452,-0.162046,0.863562,0.292458,1500.00,1,1500.00
0.439486,357.9785,-605.917969,-1.694642,-0.141579,-9.046491,-1.470040,0.656011,-0.049519,-1.694642,-0.268982,1500.00,1,1500.00
0.441747,354.9902,-608.906250,1.486055,-0.141590,-8.876503,1.710657,0.663194,0.120469,1.486055,-0.261800,1500.00,1,1500.00
0.444002,352.0898,-611.806641,1.319658,-0.138025,-9.378088,1.544260,1.364695,-0.381116,1.319658,0.439701,1500.00,1,1500.00
0.446260,348.9258,-614.970703,-0.865051,-0.138830,-9.294291,-0.640449,1.021127,-0.297318,-0.865051,0.096134,1500.00,1,1500.00
0.448516,346.2012,-617.695313,-0.778860,-0.141030,-8.865729,-0.554258,1.017536,0.131243,-0.778860,0.092542,1500.00,1,1500.00
0.450781,343.3008,-620.595703,-0.653164,-0.142437,-9.202114,-0.428562,1.149217,-0.205142,-0.653164,0.224223,1500.00,1,1500.00
0.453039,340.4004,-623.496094,0.308108,-0.142703,-9.132683,0.532710,1.024718,-0.135711,0.308108,0.099725,1500.00,1,1500.00
0.455296,337.6758,-626.220703,0.887504,-0.140797,-8.931569,1.112107,1.146823,0.065403,0.887504,0.221829,1500.00,1,1500.00
0.457554,334.5996,-629.296875,-0.364663,-0.140358,-9.269152,-0.140061,0.961272,-0.272180,-0.364663,0.036279,1500.00,1,1500.00
0.459816,331.8750,-632.021484,0.561893,-0.140073,-8.856153,0.786495,0.417788,0.140820,0.561893,-0.507205,1500.00,1,1500.00
0.462071,329.0625,-634.833984,-1.805973,-0.141920,-8.712500,-1.581370,0.529119,0.284472,-1.805973,-0.395875,1500.00,1,1500.00
0.464327,326.2500,-637.646484,-1.907726,-0.146883,-9.105149,-1.683124,0.861913,-0.108177,-1.907726,-0.063081,1500.00,1,1500.00
0.466583,323.4375,-640.458984,2.680762,-0.144321,-9.397242,2.905364,1.338359,-0.400270,2.680762,0.413365,1500.00,1,1500.00
0.468845,320.8008,-643.095703,1.627313,-0.138437,-9.080010,1.851915,1.085770,-0.083038,1.627313,0.160777,1500.00,1,1500.00
0.471101,318.1641,-645.732422,-3.617186,-0.143976,-9.144653,-3.392584,0.521936,-0.147681,-3.617186,-0.403057,1500.00,1,1500.00
0.473358,315.5273,-648.369141,-1.476770,-0.149653,-9.040505,-1.252167,0.381875,-0.043533,-1.476770,-0.543118,1500.00,1,1500.00
0.475616,312.9785,-650.917969,3.881454,-0.143429,-8.791509,4.106056,1.643619,0.205463,3.881454,0.718626,1500.00,1,1500.00
0.477879,310.0781,-653.818359,1.093406,-0.136860,-8.908825,1.318008,1.341950,0.088147,1.093406,0.416957,1500.00,1,1500.00
0.480134,307.6172,-656.279297,-4.798725,-0.144715,-9.293094,-4.574122,0.657208,-0.296122,-4.798725,-0.267785,1500.00,1,1500.00
0.482390,305.1562,-658.740234,-1.952019,-0.152258,-8.801085,-1.727417,0.465672,0.195887,-1.952019,-0.459321,1500.00,1,1500.00
0.484647,302.6074,-661.289063,4.306425,-0.145627,-9.208099,4.531027,1.499967,-0.211127,4.306425,0.574974,1500.00,1,1500.00
0.486908,299.9707,-663.925781,1.465704,-0.138341,-9.555259,1.690306,1.040281,-0.558287,1.465704,0.115287,1500.00,1,1500.00
0.489163,297.4219,-666.474609,-4.112786,-0.144747,-9.148245,-3.888184,0.555455,-0.151273,-4.112786,-0.369539,1500.00,1,1500.00
0.491420,295.0488,-668.847656,1.591400,-0.149233,-8.588001,1.816002,0.630872,0.408971,1.591400,-0.294121,1500.00,1,1500.00
0.493677,292.6758,-671.220703,4.049048,-0.142068,-9.337387,4.273650,1.333570,-0.340415,4.049048,0.408577,1500.00,1,1500.00
0.495939,290.1270,-673.769531,-0.333538,-0.137003,-9.412804,-0.108936,1.210269,-0.415832,-0.333538,0.285276,1500.00,1,1500.00
0.498194,287.6660,-676.230469,-3.824285,-0.144598,-8.904037,-3.599682,1.088165,0.092936,-3.824285,0.163171,1500.00,1,1500.00
0.500452,285.1172,-678.779297,2.187556,-0.146722,-9.046491,2.412158,1.264138,-0.049519,2.187556,0.339145,1500.00,1,1500.00
0.502709,282.8320,-681.064453,2.774135,-0.140184,-9.324219,2.998738,1.247379,-0.327247,2.774135,0.322386,1500.00,1,1500.00
0.504969,280.2832,-683.613281,0.725896,-0.136720,-9.012972,0.950498,0.652420,-0.016000,0.725896,-0.272573,1500.00,1,1500.00
0.507226,277.6465,-686.250000,-2.726543,-0.140902,-8.730456,-2.501941,0.526724,0.266516,-2.726543,-0.398269,1500.00,1,1500.00
0.509482,275.2734,-688.623047,-0.225799,-0.145434,-9.001001,-0.001197,0.587777,-0.004029,-0.225799,-0.337217,1500.00,1,1500.00
0.511736,272.7246,-691.171875,3.129674,-0.141832,-9.216479,3.354277,1.182736,-0.219507,3.129674,0.257742,1500.00,1,1500.00
0.513998,270.3516,-693.544922,1.019185,-0.137329,-9.329007,1.243788,1.288081,-0.332035,1.019185,0.363087,1500.00,1,1500.00
0.516254,267.8027,-696.093750,-2.087291,-0.140605,-9.142260,-1.862689,0.815226,-0.145288,-2.087291,-0.109768,1500.00,1,1500.00
0.518512,264.9902,-698.906250,-0.577747,-0.143620,-8.936357,-0.353145,0.790087,0.060615,-0.577747,-0.134907,1500.00,1,1500.00
0.520770,262.4414,-701.455078,1.108968,-0.143231,-9.105149,1.333570,1.229423,-0.108177,1.108968,0.304429,1500.00,1,1500.00
0.523026,259.7168,-704.179688,1.502814,-0.139929,-8.917204,1.727417,1.250970,0.079768,1.502814,0.325977,1500.00,1,1500.00
0.525287,256.9922,-706.904297,-0.489162,-0.139652,-8.775947,-0.264559,0.696713,0.221025,-0.489162,-0.228281,1500.00,1,1500.00
0.527543,254.0918,-709.804688,-0.839912,-0.142337,-9.220071,-0.615310,0.562637,-0.223099,-0.839912,-0.362356,1500.00,1,1500.00
0.529799,251.1914,-712.705078,0.090235,-0.143530,-9.255983,0.314838,0.888249,-0.259011,0.090235,-0.036745,1500.00,1,1500.00
0.532056,248.2031,-715.693359,2.260579,-0.139382,-9.126697,2.485181,1.322796,-0.129725,2.260579,0.397803,1500.00,1,1500.00
0.534319,245.3027,-718.593750,0.688786,-0.136488,-9.279925,0.913388,1.485602,-0.282953,0.688786,0.560609,1500.00,1,1500.00
0.536576,241.9629,-721.933594,-0.082147,-0.137144,-8.880095,0.142455,0.773327,0.116878,-0.082147,-0.151666,1500.00,1,1500.00
0.538834,238.3594,-725.537109,-0.990747,-0.137952,-8.862138,-0.766145,1.001973,0.134834,-0.990747,0.076980,1500.00,1,1500.00
0.640425,78.0469,-885.849609,1.112559,-0.024926,-9.667787,1.337162,2.309207,-0.670815,1.112559,1.384214,1500.00,1,1500.00
0.642493,75.9375,-887.958984,0.041154,-0.023974,-9.153033,0.265756,1.058237,-0.156061,0.041154,0.133244,1500.00,1,1500.00
0.644751,73.3008,-890.595703,-0.167141,-0.024171,-8.984241,0.057461,0.124498,0.012731,-0.167141,-0.800495,1500.00,1,1500.00
0.647008,70.8398,-893.056641,-0.685486,-0.025532,-8.950723,-0.460884,0.299275,0.046249,-0.685486,-0.625718,1500.00,1,1500.00
0.649266,68.4668,-895.429688,1.848776,-0.023973,-8.440758,2.073379,0.802058,0.556214,1.848776,-0.122936,1500.00,1,1500.00
0.651525,65.9180,-897.978516,-0.765692,-0.022120,-9.044097,-0.541090,1.856703,-0.047125,-0.765692,0.931710,1500.00,1,1500.00
0.653780,63.4570,-900.439453,-2.127993,-0.026166,-9.684546,-1.903390,1.186327,-0.687573,-2.127993,0.261334,1500.00,1,1500.00
0.656038,60.8203,-903.076172,0.066293,-0.027376,-9.489418,0.290895,0.882263,-0.492446,0.066293,-0.042730,1500.00,1,1500.00
0.658295,58.2715,-905.625000,2.351559,-0.023152,-8.876503,2.576161,1.428141,0.120469,2.351559,0.503148,1500.00,1,1500.00
0.660556,55.6348,-908.261719,1.404652,-0.018467,-8.644265,1.629254,0.645237,0.352707,1.404652,-0.279756,1500.00,1,1500.00
0.662815,53.1738,-910.722656,-0.487965,-0.018127,-9.053674,-0.263362,0.545878,-0.056702,-0.487965,-0.379115,1500.00,1,1500.00
0.665071,50.3613,-913.535156,-0.100104,-0.018535,-8.859743,0.124498,0.696713,0.137229,-0.100104,-0.228281,1500.00,1,1500.00
0.667327,47.7246,-916.171875,-2.368610,-0.021432,-8.944737,-2.144008,0.743400,0.052235,-2.368610,-0.181594,1500.00,1,1500.00
0.673386,40.4297,-923.466797,3.165587,-0.002248,-9.263166,3.390190,1.459266,-0.266194,3.165587,0.534272,1500.00,1,1500.00
0.675643,37.6172,-926.279297,2.251002,0.004364,-8.742428,2.475605,0.779313,0.254544,2.251002,-0.145681,1500.00,1,1500.00
0.677899,34.9805,-928.916016,-1.608451,0.003209,-8.649054,-1.383849,0.094571,0.347919,-1.608451,-0.830423,1500.00,1,1500.00
0.680155,31.9043,-931.992188,-1.121231,-0.001978,-8.693346,-0.896629,0.362722,0.303626,-1.121231,-0.562272,1500.00,1,1500.00
0.682426,29.1797,-934.716797,1.402258,-0.001362,-9.076419,1.626860,1.452083,-0.079447,1.402258,0.527090,1500.00,1,1500.00
0.684681,26.3672,-937.529297,1.779344,0.002423,-9.588778,2.003947,1.885434,-0.591805,1.779344,0.960440,1500.00,1,1500.00
0.686938,23.4668,-940.429688,1.354374,0.005997,-9.433155,1.578976,1.595735,-0.436183,1.354374,0.670742,1500.00,1,1500.00
0.689194,20.3906,-943.505859,-2.318332,0.003662,-9.102755,-2.093729,0.694318,-0.105783,-2.318332,-0.230675,1500.00,1,1500.00
0.691455,17.4023,-946.494141,-1.194254,-0.000565,-8.975863,-0.969652,0.296881,0.021110,-1.194254,-0.628112,1500.00,1,1500.00
0.693711,14.5020,-949.394531,0.311699,-0.001086,-8.760384,0.536301,0.519542,0.236588,0.311699,-0.405452,1500.00,1,1500.00
