t_s,enc_deg,acc_deg,a_belt,v_belt,a_raw_x,a_raw_y,a_raw_z,a_lin_x,a_lin_y,a_lin_z,cmd_sps,cmd_dir,cmd_vel
0.280475,309.9902,-213.398437,0.308251,-0.293330,-8.985439,0.554258,1.237802,0.008976,0.308251,0.368125,0.00,1,0.00
0.282730,310.0781,-213.310547,1.121083,-0.291579,-9.027337,1.367089,1.270124,-0.032922,1.121083,0.400447,0.00,1,0.00
0.284999,309.9902,-213.398437,1.403598,-0.288630,-8.917204,1.649605,0.991199,0.077211,1.403598,0.121523,0.00,1,0.00
0.287256,309.9902,-213.398437,0.931941,-0.285915,-9.030929,1.177947,0.762553,-0.036513,0.931941,-0.107124,0.00,1,0.00
0.289511,310.0781,-213.310547,0.383668,-0.284769,-8.996213,0.629675,0.861913,-0.001798,0.383668,-0.007764,0.00,1,0.00
0.291765,309.9902,-213.398437,-0.025740,-0.284537,-9.176975,0.220267,0.883460,-0.182560,-0.025740,0.013784,0.00,1,0.00
0.294021,309.9902,-213.398437,-0.115523,-0.284706,-9.283517,0.130484,0.854730,-0.289102,-0.115523,-0.014947,0.00,1,0.00
0.296281,310.0781,-213.310547,-0.067639,-0.284910,-9.033323,0.178368,0.938527,-0.038908,-0.067639,0.068850,0.00,1,0.00
0.298536,310.0781,-213.310547,0.060451,-0.284861,-8.953117,0.306458,0.970849,0.041298,0.060451,0.101172,0.00,1,0.00
0.300793,309.9902,-213.398437,0.508167,-0.284173,-9.038112,0.754174,1.010353,-0.043696,0.508167,0.140676,0.00,1,0.00
0.303049,309.9902,-213.398437,0.787091,-0.282682,-9.052477,1.033098,1.125275,-0.058062,0.787091,0.255598,0.00,1,0.00
0.305310,310.0781,-213.310547,0.808639,-0.280859,-9.085996,1.054646,1.079785,-0.091580,0.808639,0.210108,0.00,1,0.00
0.307566,309.9902,-213.398437,0.535700,-0.279439,-9.018958,0.781707,1.024718,-0.024543,0.535700,0.155042,0.00,1,0.00
0.309821,309.9902,-213.398437,-0.339381,-0.279584,-8.947132,-0.093374,0.905008,0.047283,-0.339381,0.035331,0.00,1,0.00
0.312075,309.9902,-213.398437,-0.382476,-0.280488,-8.981848,-0.136469,0.836774,0.012568,-0.382476,-0.032903,0.00,1,0.00
0.314336,310.0781,-213.310547,-0.097566,-0.280952,-8.990228,0.148441,0.913388,0.004188,-0.097566,0.043711,0.00,1,0.00
0.316592,310.0781,-213.310547,0.065240,-0.280887,-9.106346,0.311246,0.967257,-0.111931,0.065240,0.097581,0.00,1,0.00
0.318847,309.9902,-213.398437,0.408808,-0.280251,-9.106346,0.654814,1.003170,-0.111931,0.408808,0.133494,0.00,1,0.00
0.321104,310.0781,-213.310547,0.426764,-0.279249,-8.972271,0.672771,0.968455,0.022144,0.426764,0.098778,0.00,1,0.00
0.323360,310.0781,-213.310547,0.064042,-0.278869,-9.009381,0.310049,0.903811,-0.014966,0.064042,0.034134,0.00,1,0.00
0.325441,310.0781,-213.310547,-0.151436,-0.279185,-9.074024,0.094571,1.007959,-0.079609,-0.151436,0.138282,0.00,1,0.00
