t_s,enc_as5600_deg,acc_as5600_deg,clar_counts,clar_deg,cmd_sps,cmd_dir,cmd_vel
0.294894,222.8027,-393.574219,565,397.2656,2000.00,1,2000.00
0.295895,221.5723,-394.804687,567,398.6719,2000.00,1,2000.00
0.296896,220.0781,-396.298828,569,400.0781,2000.00,1,2000.00
0.297897,218.6719,-397.705078,571,401.4844,2000.00,1,2000.00
0.298898,217.5293,-398.847656,573,402.8906,2000.00,1,2000.00
0.299899,216.1230,-400.253906,574,403.5937,2000.00,1,2000.00
0.300900,214.7168,-401.660156,576,405.0000,2000.00,1,2000.00
0.301901,213.4863,-402.890625,578,406.4062,2000.00,1,2000.00
0.302902,212.0801,-404.296875,580,407.8125,2000.00,1,2000.00
0.303903,210.8496,-405.527344,582,409.2187,2000.00,1,2000.00
0.311127,200.4785,-415.898437,596,419.0625,2000.00,1,2000.00
0.312128,199.1602,-417.216797,598,420.4687,2000.00,1,2000.00
0.313129,197.6660,-418.710937,600,421.8750,2000.00,1,2000.00
0.314130,195.9961,-420.380859,602,423.2812,2000.00,1,2000.00
0.315131,194.6777,-421.699219,604,424.6875,2000.00,1,2000.00
0.316132,193.1836,-423.193359,606,426.0937,2000.00,1,2000.00
0.317133,191.9531,-424.423828,608,427.5000,2000.00,1,2000.00
0.318134,190.4590,-425.917969,610,428.9062,2000.00,1,2000.00
0.319135,188.7012,-427.675781,612,430.3125,2000.00,1,2000.00
0.320136,187.2070,-429.169922,614,431.7187,2000.00,1,2000.00
0.321137,185.8887,-430.488281,616,433.1250,2000.00,1,2000.00
0.322138,184.3945,-431.982422,618,434.5312,2000.00,1,2000.00
0.323139,182.9004,-433.476562,620,435.9375,2000.00,1,2000.00
0.324140,181.2305,-435.146484,622,437.3437,2000.00,1,2000.00
0.325141,179.7363,-436.640625,623,438.0469,2000.00,1,2000.00
0.326142,178.4180,-437.958984,625,439.4531,2000.00,1,2000.00
0.327143,176.8359,-439.541016,627,440.8594,2000.00,1,2000.00
0.328144,175.4297,-440.947266,629,442.2656,2000.00,1,2000.00
0.329145,173.8477,-442.529297,631,443.6719,2000.00,1,2000.00
0.330145,172.2656,-444.111328,633,445.0781,2000.00,1,2000.00
0.331146,170.7715,-445.605469,635,446.4844,2000.00,1,2000.00
0.332147,169.1016,-447.275391,637,447.8906,2000.00,1,2000.00
0.333148,167.6074,-448.769531,639,449.2969,2000.00,1,2000.00
0.334149,166.3770,-450.000000,641,450.7031,2000.00,1,2000.00
0.335150,164.6191,-451.757812,643,452.1094,2000.00,1,2000.00
0.336151,162.9492,-453.427734,644,452.8125,2000.00,1,2000.00
0.337152,161.6309,-454.746094,646,454.2187,2000.00,1,2000.00
0.338153,160.2246,-456.152344,648,455.6250,2000.00,1,2000.00
0.339154,158.7305,-457.646484,650,457.0312,2000.00,1,2000.00
0.340155,156.9727,-459.404297,652,458.4375,2000.00,1,2000.00
0.341156,155.3906,-460.986328,654,459.8437,2000.00,1,2000.00
0.342157,154.0723,-462.304687,656,461.2500,2000.00,1,2000.00
0.343158,152.4902,-463.886719,658,462.6562,2000.00,1,2000.00
0.344159,150.9961,-465.380859,660,464.0625,2000.00,1,2000.00
0.345160,149.6777,-466.699219,662,465.4687,2000.00,1,2000.00
0.346161,148.0078,-468.369141,664,466.8750,2000.00,1,2000.00
0.347162,146.2500,-470.126953,666,468.2812,2000.00,1,2000.00
0.348163,144.9316,-471.445312,668,469.6875,2000.00,1,2000.00
0.349164,143.5254,-472.851562,670,471.0937,2000.00,1,2000.00
0.350165,142.2070,-474.169922,672,472.5000,2000.00,1,2000.00
0.351166,140.5371,-475.839844,674,473.9062,2000.00,1,2000.00
0.352167,139.0430,-477.333984,675,474.6094,2000.00,1,2000.00
0.353168,137.8125,-478.564453,677,476.0156,2000.00,1,2000.00
0.354169,136.3184,-480.058594,679,477.4219,2000.00,1,2000.00
0.355170,134.7363,-481.640625,681,478.8281,2000.00,1,2000.00
0.356171,133.4180,-482.958984,683,480.2344,2000.00,1,2000.00
0.357172,131.9238,-484.453125,685,481.6406,2000.00,1,2000.00
0.358173,130.4297,-485.947266,687,483.0469,2000.00,1,2000.00
0.359174,129.1113,-487.265625,689,484.4531,2000.00,1,2000.00
0.360175,127.6172,-488.759766,691,485.8594,2000.00,1,2000.00
0.367424,117.7734,-498.603516,705,495.7031,2000.00,1,2000.00
0.368425,116.3672,-500.009766,706,496.4062,2000.00,1,2000.00
0.369426,115.1367,-501.240234,708,497.8125,2000.00,1,2000.00
0.370427,113.8184,-502.558594,710,499.2187,2000.00,1,2000.00
0.371428,112.4121,-503.964844,712,500.6250,2000.00,1,2000.00
0.372429,111.1816,-505.195312,714,502.0312,2000.00,1,2000.00
0.373430,109.7754,-506.601562,716,503.4375,2000.00,1,2000.00
0.374431,108.4570,-507.919922,718,504.8437,2000.00,1,2000.00
0.375431,107.3145,-509.062500,720,506.2500,2000.00,1,2000.00
0.376432,105.9961,-510.380859,722,507.6562,2000.00,1,2000.00
0.377433,104.8535,-511.523437,724,509.0625,2000.00,1,2000.00
0.378434,103.4473,-512.929688,726,510.4687,2000.00,1,2000.00
0.379435,102.1289,-514.248047,728,511.8750,2000.00,1,2000.00
0.380436,100.9863,-515.390625,730,513.2812,2000.00,1,2000.00
0.381437,99.6680,-516.708984,732,514.6875,2000.00,1,2000.00
0.382438,98.4375,-517.939453,734,516.0937,2000.00,1,2000.00
0.383439,97.2070,-519.169922,736,517.5000,2000.00,1,2000.00
0.384440,95.9766,-520.400391,737,518.2031,2000.00,1,2000.00
0.385441,94.6582,-521.718750,739,519.6094,2000.00,1,2000.00
0.386442,93.5156,-522.861328,741,521.0156,2000.00,1,2000.00
0.387443,92.2852,-524.091797,743,522.4219,2000.00,1,2000.00
0.388444,91.1426,-525.234375,745,523.8281,2000.00,1,2000.00
0.389445,90.0000,-526.376953,747,525.2344,2000.00,1,2000.00
0.390446,88.6816,-527.695313,749,526.6406,2000.00,1,2000.00
0.391447,87.5391,-528.837891,751,528.0469,2000.00,1,2000.00
0.392448,86.3086,-530.068359,753,529.4531,2000.00,1,2000.00
0.393449,85.0781,-531.298828,755,530.8594,2000.00,1,2000.00
0.394450,84.0234,-532.353516,757,532.2656,2000.00,1,2000.00
0.395451,82.7051,-533.671875,758,532.9687,2000.00,1,2000.00
0.396452,81.4746,-534.902344,760,534.3750,2000.00,1,2000.00
0.397453,80.4199,-535.957031,762,535.7812,2000.00,1,2000.00
0.398454,79.1016,-537.275391,764,537.1875,2000.00,1,2000.00
0.399455,77.9590,-538.417969,766,538.5937,2000.00,1,2000.00
0.400456,76.7285,-539.648438,768,540.0000,2000.00,1,2000.00
0.401457,75.4980,-540.878906,770,541.4062,2000.00,1,2000.00
0.402458,74.5313,-541.845703,772,542.8125,2000.00,1,2000.00
0.403459,73.2129,-543.164063,774,544.2187,2000.00,1,2000.00
0.404460,71.9824,-544.394531,776,545.6250,2000.00,1,2000.00
0.405461,70.9277,-545.449219,778,547.0312,2000.00,1,2000.00
0.406462,69.6973,-546.679688,780,548.4375,2000.00,1,2000.00
0.407463,68.4668,-547.910156,782,549.8437,2000.00,1,2000.00
0.408463,67.3242,-549.052734,783,550.5469,2000.00,1,2000.00
0.409464,66.1816,-550.195313,785,551.9531,2000.00,1,2000.00
0.410465,65.0391,-551.337891,787,553.3594,2000.00,1,2000.00
0.411466,63.7207,-552.656250,789,554.7656,2000.00,1,2000.00
0.412467,62.5781,-553.798828,791,556.1719,2000.00,1,2000.00
0.413468,61.4355,-554.941406,793,557.5781,2000.00,1,2000.00
0.414469,60.1172,-556.259766,795,558.9844,2000.00,1,2000.00
0.415470,58.7109,-557.666016,797,560.3906,2000.00,1,2000.00
0.416471,57.7441,-558.632813,798,561.0937,2000.00,1,2000.00
0.424178,48.3398,-568.037109,813,571.6406,2000.00,1,2000.00
0.425179,47.1094,-569.267578,815,573.0469,2000.00,1,2000.00
0.426180,45.9668,-570.410156,817,574.4531,2000.00,1,2000.00
0.427181,44.6484,-571.728516,819,575.8594,2000.00,1,2000.00
0.428182,43.3301,-573.046875,821,577.2656,2000.00,1,2000.00
0.429183,42.1875,-574.189453,823,578.6719,2000.00,1,2000.00
0.430184,40.7813,-575.595703,825,580.0781,2000.00,1,2000.00
0.431185,39.3750,-577.001953,827,581.4844,2000.00,1,2000.00
0.432186,38.2324,-578.144531,829,582.8906,2000.00,1,2000.00
0.433187,37.0020,-579.375000,831,584.2969,2000.00,1,2000.00
0.434188,35.8594,-580.517578,833,585.7031,2000.00,1,2000.00
0.435189,34.4531,-581.923828,835,587.1094,2000.00,1,2000.00
0.436190,32.9590,-583.417969,836,587.8125,2000.00,1,2000.00
0.437191,31.8164,-584.560547,838,589.2187,2000.00,1,2000.00
0.438192,30.4980,-585.878906,840,590.6250,2000.00,1,2000.00
0.439193,29.0918,-587.285156,842,592.0312,2000.00,1,2000.00
0.440194,27.8613,-588.515625,844,593.4375,2000.00,1,2000.00
0.441195,26.3672,-590.009766,846,594.8437,2000.00,1,2000.00
0.442196,24.9609,-591.416016,848,596.2500,2000.00,1,2000.00
0.443197,23.7305,-592.646484,850,597.6562,2000.00,1,2000.00
0.444198,22.4121,-593.964844,852,599.0625,2000.00,1,2000.00
0.445199,21.0059,-595.371094,854,600.4687,2000.00,1,2000.00
0.446200,19.4238,-596.953125,856,601.8750,2000.00,1,2000.00
0.447201,17.9297,-598.447266,858,603.2812,2000.00,1,2000.00
0.448202,16.6113,-599.765625,859,603.9844,2000.00,1,2000.00
0.449202,15.2930,-601.083984,861,605.3906,2000.00,1,2000.00
0.450203,13.7988,-602.578125,863,606.7969,2000.00,1,2000.00
0.451204,12.3926,-603.984375,865,608.2031,2000.00,1,2000.00
0.452205,10.8984,-605.478516,867,609.6094,2000.00,1,2000.00
0.453206,9.3164,-607.060547,869,611.0156,2000.00,1,2000.00
0.454207,8.0859,-608.291016,871,612.4219,2000.00,1,2000.00
0.455208,6.5039,-609.873047,873,613.8281,2000.00,1,2000.00
0.456209,5.0977,-611.279297,875,615.2344,2000.00,1,2000.00
0.457210,3.5156,-612.861328,877,616.6406,2000.00,1,2000.00
0.458211,2.0215,-614.355469,879,618.0469,2000.00,1,2000.00
0.459212,0.6152,-615.761719,881,619.4531,2000.00,1,2000.00
0.460213,359.0332,-617.343750,882,620.1562,2000.00,1,2000.00
0.461214,357.5391,-618.837891,884,621.5625,2000.00,1,2000.00
0.462215,356.1328,-620.244141,886,622.9687,2000.00,1,2000.00
0.463216,354.5508,-621.826172,888,624.3750,2000.00,1,2000.00
0.464217,352.8809,-623.496094,890,625.7812,2000.00,1,2000.00
0.465218,351.5625,-624.814453,892,627.1875,2000.00,1,2000.00
0.466219,350.0684,-626.308594,894,628.5937,2000.00,1,2000.00
