t_s,input_rad_s,v_fused_m_s,x_fused_m,x_fused_mm,accumulated_rad,v_cmd_orig,v_cmd_scaled,theta_pred_scaled,scale_seg_index,a_seg,input_rad_s_scaled,v_enc_m_s
1.73711,-5.215043804959057,-0.0084344288439266,-0.0019164099799379,-1.9164099799379564,-2.230408611001114,-0.03320000000000001,-0.04661512726305017,-2.1893656238109673,1,1.4040700982846435,-7.322287067787585,-0.05026606304987676
1.74718,-5.215043804959057,-0.009387053497472,-0.0020191849468112,-2.0191849468112077,-2.3086342680754997,-0.03320000000000001,-0.04661512726305017,-2.263101054583588,1,1.4040700982846435,-7.322287067787585,-0.05101921861724452
1.75739,-5.215043804959057,-0.0095148105526296,-0.0020824210791488,-2.0824210791488413,-2.3930034841169054,-0.03320000000000001,-0.04661512726305017,-2.3378616055457,1,1.4040700982846435,-7.322287067787585,-0.052053416426316744
1.76744,-5.215043804959057,-0.0098918007942531,-0.0021514526750276,-2.151452675027677,-2.474318373967321,-0.03320000000000001,-0.04661512726305017,-2.4114505905769645,1,1.4040700982846435,-7.322287067787585,-0.05162148410795377
1.78703,-4.618141200776996,-0.0104687140854907,-0.0023454636005234,-2.345463600523447,-2.6338414675996025,-0.029400000000000006,-0.058744375617372495,-2.5922181960291963,2,1.9981080141963428,-9.227544943962839,-0.05290023430657785
1.79708,-4.618141200776996,-0.0104017780976323,-0.0024461387430872,-2.4461387430872517,-2.7182106836410087,-0.029400000000000006,-0.058744375617372495,-2.684955022716024,2,1.9981080141963428,-9.227544943962839,-0.05104392903253074
1.80733,-4.618141200776996,-0.0103409907232447,-0.0025569683448652,-2.5569683448652976,-2.7964537940079146,-0.029400000000000006,-0.058744375617372495,-2.779537358391644,2,1.9981080141963428,-9.227544943962839,-0.05208003455517575
1.81736,-4.618141200776996,-0.0096639901553005,-0.0026180269057387,-2.6180269057387675,-2.8838773362403107,-0.029400000000000006,-0.058744375617372495,-2.872089634179591,2,1.9981080141963428,-9.227544943962839,-0.054086503813668814
1.83695,-4.618141200776996,-0.0089122445974664,-0.0028300890500802,-2.8300890500802525,-3.0418819934233574,-0.029400000000000006,-0.058744375617372495,-3.052857239631823,2,1.9981080141963428,-9.227544943962839,-0.05077083503292169
1.84701,-4.618141200776996,-0.0090674509285418,-0.0029073029474912,-2.9073029474912016,-3.121643540239498,-0.029400000000000006,-0.058744375617372495,-3.145686341768089,2,1.9981080141963428,-9.227544943962839,-0.05245589225482287
1.85723,-4.618141200776996,-0.0092708340374788,-0.0030052990516714,-3.0052990516714435,-3.2090845357644135,-0.029400000000000006,-0.058744375617372495,-3.2399918510953882,2,1.9981080141963428,-9.227544943962839,-0.0506679515999264
1.86744,-4.618141200776996,-0.0097235391698164,-0.0031312295496027,-3.1312295496027547,-3.28425586664781,-0.029400000000000006,-0.058744375617372495,-3.334205084973249,2,1.9981080141963428,-9.227544943962839,-0.04899576157028867
1.88695,-4.618141200776996,-0.0099605555239511,-0.003308414841069,-3.3084148410690943,-3.4468507397636015,-0.029400000000000006,-0.058744375617372495,-3.5142344868299635,2,1.9981080141963428,-9.227544943962839,-0.0526696783433552
1.897,-4.618141200776996,-0.0101070347951919,-0.0033937582744549,-3.393758274454907,-3.529684066063252,-0.029400000000000006,-0.058744375617372495,-3.6069713135167905,2,1.9981080141963428,-9.227544943962839,-0.05107152549080616
1.90723,-4.618141200776996,-0.0106625134821476,-0.0035039705821673,-3.5039705821673923,-3.6094630661719127,-0.029400000000000006,-0.058744375617372495,-3.70136909829353,2,1.9981080141963428,-9.227544943962839,-0.0520530740268899
1.91728,-4.618141200776996,-0.0104100211431599,-0.0035674238865347,-3.567423886534717,-3.6953681719550744,-0.029400000000000006,-0.058744375617372495,-3.7941059249803577,2,1.9981080141963428,-9.227544943962839,-0.05286824081297938
1.93687,2.1834068942449063,-0.0096022226657525,-0.00373982321375,-3.739823213750014,-3.848765159912856,0.013900000000000003,-0.0010778197165783965,-3.797422581038533,3,-0.07754098680420117,-0.16930352517484615,-0.016259449412357675
1.94692,2.1834068942449063,-0.009102225368996,-0.0038645649361938,-3.864564936193832,-3.8472292701711006,0.013900000000000003,-0.0010778197165783965,-3.79912408146654,3,-0.07754098680420117,-0.16930352517484615,0.0009639716833252547
1.95716,2.1834068942449063,-0.0078721149790331,-0.004002260028425,-4.002260028425001,-3.845693380429346,0.013900000000000003,-0.0010778197165783965,-3.8008577495643308,3,-0.07754098680420117,-0.16930352517484615,0.0009644654725390251
1.9672,2.1834068942449063,-0.0072815126683399,-0.0040803746416466,-4.080374641646603,-3.8441574906875906,0.013900000000000003,-0.0010778197165783965,-3.802557556957086,3,-0.07754098680420117,-0.16930352517484615,0.00047476138212722285
1.98679,2.1834068942449063,-0.0049542031974293,-0.0042555766156552,-4.255576615655289,-3.845693380429346,0.013900000000000003,-0.0010778197165783965,-3.805874213015261,3,-0.07754098680420117,-0.16930352517484615,0.00018703897739920359
2.00104,2.1834068942449063,-0.0048105418965747,-0.0044080114176803,-4.408011417680322,-3.8441574906875906,0.013900000000000003,-0.0010778197165783965,-3.808286788249003,3,-0.07754098680420117,-0.16930352517484615,0.00035914386486478187
2.01669,2.1834068942449063,-0.0040692728358825,-0.004546102782829,-4.546102782829094,-3.8441574906875906,0.013900000000000003,-0.0010778197165783965,-3.810936388417989,3,-0.07754098680420117,-0.16930352517484615,-3.6187644375762683e-16
2.02674,2.1834068942449063,-0.0044440205396481,-0.004672049733586,-4.672049733586084,-3.8441574906875906,0.013900000000000003,-0.0010778197165783965,-3.8126378888459964,3,-0.07754098680420117,-0.16930352517484615,0.0
2.03697,2.1834068942449063,-0.0046545230165547,-0.0048286701548146,-4.828670154814661,-3.8441574906875906,0.013900000000000003,-0.0010778197165783965,-3.814369863908535,3,-0.07754098680420117,-0.16930352517484615,-1.8093822187881342e-16
2.04702,2.1834068942449063,-0.0044837246549938,-0.0049211098049458,-4.921109804945806,-3.8441574906875906,0.013900000000000003,-0.0010778197165783965,-3.8160713643365423,3,-0.07754098680420117,-0.16930352517484615,-1.8093822187881342e-16
2.06661,2.1834068942449063,-0.0041243392436846,-0.0050326993204795,-5.032699320479522,-3.8441574906875906,0.013900000000000003,-0.0010778197165783965,-3.8193880203947175,3,-0.07754098680420117,-0.16930352517484615,-1.8093822187881342e-16
2.07666,2.1834068942449063,-0.0038812072277171,-0.0050498041533023,-5.049804153302351,-3.8441574906875906,0.013900000000000003,-0.0010778197165783965,-3.8210895208227247,3,-0.07754098680420117,-0.16930352517484615,0.0
2.08689,2.1834068942449063,-0.0036431738880311,-0.004999565000473,-4.999565000473012,-3.8441574906875906,0.013900000000000003,-0.0010778197165783965,-3.8228214958852633,3,-0.07754098680420117,-0.16930352517484615,-1.8093822187881342e-16
2.09696,2.1834068942449063,-0.0031167827750951,-0.0049658913089778,-4.9658913089778,-3.8441574906875906,0.013900000000000003,-0.0010778197165783965,-3.824526382383774,3,-0.07754098680420117,-0.16930352517484615,1.8093822187881342e-16
2.11653,2.1834068942449063,-0.002611174924697,-0.0049575159085193,-4.95751590851934,-3.8441574906875906,0.013900000000000003,-0.0010778197165783965,-3.8278396523714457,3,-0.07754098680420117,-0.16930352517484615,0.0
2.1268,2.1834068942449063,-0.0020405530473681,-0.0049344041401563,-4.934404140156353,-3.8441574906875906,0.013900000000000003,-0.0010778197165783965,-3.8295783995749915,3,-0.07754098680420117,-0.16930352517484615,-1.8093822187881342e-16
2.14647,2.1834068942449063,-0.0016847401085643,-0.0049278464940219,-4.927846494021954,-3.8441574906875906,0.013900000000000003,-0.0010778197165783965,-3.832908599915181,3,-0.07754098680420117,-0.16930352517484615,-3.6187644375762683e-16
2.15668,2.1834068942449063,-0.0012311802799172,-0.0049115708139748,-4.911570813974811,-3.8441574906875906,0.013900000000000003,-0.0010778197165783965,-3.834637188907216,3,-0.07754098680420117,-0.16930352517484615,-0.0004902983164687248
2.16673,2.1834068942449063,-0.0009787908894886,-0.0049001653046153,-4.90016530461537,-3.845693380429346,0.013900000000000003,-0.0010778197165783965,-3.8363386893352227,3,-0.07754098680420117,-0.16930352517484615,-0.0006430286713088735
2.18632,2.1834068942449063,-0.0007205337038425,-0.004895889043091,-4.895889043091054,-3.845693380429346,0.013900000000000003,-0.0010778197165783965,-3.8396553453933984,3,-0.07754098680420117,-0.16930352517484615,0.0006421728203015783
2.19638,2.1834068942449063,-0.0004812335252372,-0.0048877588585798,-4.887758858579831,-3.8441574906875906,0.013900000000000003,-0.0010778197165783965,-3.841358538856657,3,-0.07754098680420117,-0.16930352517484615,0.0004898071574934523
2.2066,2.1834068942449063,-0.0002757599268723,-0.0048816669821863,-4.8816669821863465,-3.8441574906875906,0.013900000000000003,-0.0010778197165783965,-3.843088820883944,3,-0.07754098680420117,-0.16930352517484615,0.0
2.21666,2.1834068942449063,-0.0001116798754884,-0.0048769949962071,-4.876994996207123,-3.8441574906875906,0.013900000000000003,-0.0010778197165783965,-3.844792014347203,3,-0.07754098680420117,-0.16930352517484615,-0.008801988252017967
2.23624,-5.709844647899449,-0.0068976089068134,-0.0049545508143283,-4.9545508143283845,-3.923919037503732,-0.03635000000000001,-0.04718846056769013,-3.989925750058742,4,1.2981694791661658,-7.412346052683347,-0.04219137855428618
2.24629,-5.709844647899449,-0.00871616154455,-0.0049726096498775,-4.972609649877535,-4.003698037612392,-0.03635000000000001,-0.04718846056769013,-4.064419827888211,4,1.2981694791661658,-7.412346052683347,-0.05094323434898475
