t_s,enc_as5600_deg,acc_deg,clar_counts,clar_deg,a_belt,v_belt,axW,ayW,azW,cmd_sps,cmd_dir,cmd_vel,cam_t_s,cam_x_mm,cam_y_mm,cam_dx_mm,cam_dy_mm,cam_vx_mm,cam_vy_mm
1.22032,255.762,0.000,0,0.000,0.008,0.016,0.005,0.008,0.009,0.0,1,0.0,1.200,0.00,0.00,0.00,0.00,0.000.00
1.23991,255.850,0.088,0,0.000,0.011,0.016,0.004,0.011,0.008,0.0,1,0.0,1.214,0.00,0.00,0.00,0.00,0.000.00
1.24996,255.850,0.088,0,0.000,0.011,0.016,0.004,0.011,0.008,0.0,1,0.0,1.229,0.00,0.00,0.00,0.00,0.000.00
1.26019,255.762,0.000,0,0.000,0.011,0.016,0.004,0.011,0.010,0.0,1,0.0,1.234,0.00,0.00,0.00,0.00,0.000.00
1.27024,255.762,0.000,0,0.000,0.010,0.016,0.006,0.010,0.010,0.0,1,0.0,1.246,0.00,0.00,0.00,0.00,0.000.00
1.28983,255.762,0.000,0,0.000,0.013,0.017,0.002,0.013,0.014,0.0,1,0.0,1.262,0.00,0.00,0.00,0.00,0.000.00
1.30018,255.762,0.000,0,0.000,0.014,0.017,0.004,0.014,0.011,0.0,1,0.0,1.274,0.00,0.00,0.00,0.00,0.000.00
1.31934,255.850,0.088,0,0.000,0.011,0.017,0.007,0.011,0.017,0.0,1,0.0,1.296,0.00,0.00,0.00,0.00,0.000.00
1.32956,255.762,0.000,0,0.000,0.011,0.017,0.008,0.011,0.011,0.0,1,0.0,1.308,0.00,0.00,0.00,0.00,0.000.00
1.33963,255.937,0.176,0,0.000,0.013,0.017,0.005,0.013,0.010,0.0,1,0.0,1.319,0.00,0.00,0.00,0.00,0.000.00
1.34984,255.850,0.088,0,0.000,0.011,0.017,0.004,0.011,0.011,0.0,1,0.0,1.319,0.00,0.00,0.00,0.00,0.000.00
1.35989,255.762,0.000,0,0.000,0.013,0.018,0.006,0.013,0.010,0.0,1,0.0,1.336,0.00,0.00,0.00,0.00,0.000.00
1.37948,255.762,0.000,0,0.000,0.012,0.018,0.008,0.012,0.007,0.0,1,0.0,1.350,0.00,0.00,0.00,0.00,0.000.00
1.38953,255.762,0.000,0,0.000,0.013,0.018,0.007,0.013,0.007,0.0,1,0.0,1.366,0.00,0.00,0.00,0.00,0.000.00
1.39976,255.762,0.000,0,0.000,0.011,0.018,0.004,0.011,0.010,0.0,1,0.0,1.377,0.00,0.00,0.00,0.00,0.000.00
1.40981,255.762,0.000,0,0.000,0.010,0.018,0.003,0.010,0.009,0.0,1,0.0,1.387,0.00,0.00,0.00,0.00,0.000.00
1.42938,255.762,0.000,0,0.000,0.010,0.018,0.005,0.010,0.010,0.0,1,0.0,1.402,0.00,0.00,0.00,0.00,0.000.00
1.43961,255.762,0.000,0,0.000,0.012,0.019,0.002,0.012,0.008,0.0,1,0.0,1.420,0.00,0.00,0.00,0.00,0.000.00
1.44966,255.762,0.000,0,0.000,0.012,0.019,0.000,0.012,0.009,0.0,1,0.0,1.428,0.00,0.00,0.00,0.00,0.000.00
1.45989,255.850,0.088,0,0.000,0.012,0.019,-0.001,0.012,0.009,0.0,1,0.0,1.442,0.00,0.00,0.00,0.00,0.000.00
